Comment,Description,Designator,Footprint,LibRef,Pins,Quantity,PartNumber,url
100nF (104) 10% 16V,贴片电容,"C2,C3,C5,",0402_C,0402_100nF__104_10%_16V,2,3,C1525,http://www.szlcsc.com/product/details_1877.html
0603_10uF__106_20%_6.3V,desc,"C4,",0603_C,libref,2,1,,
4.7uF (475) 20% 10V,贴片电容,"C6,",0402_C,0402_4.7uF__475_20%_10V,2,1,C23733,http://www.szlcsc.com/product/details_24469.html
蓝灯 0603,发光二极管,"D1,",0603_LED_S1,0603_蓝灯,2,1,C72041,http://www.szlcsc.com/product/details_73150.html
10KΩ (1002) ±1%,贴片电阻,"R1,",0402_R,0402_10KΩ__1002_1%,2,1,C25744,http://www.szlcsc.com/product/details_26487.html
10MΩ (1005) ±1%,贴片电阻,"R2,",0402_R,0402_10MΩ__1005_1%,2,1,C26082,http://www.szlcsc.com/product/details_26825.html
1KΩ (1001) ±1%,贴片电阻,"R3,",0402_R,0402_1KΩ__1001_1%,2,1,C11702,http://www.szlcsc.com/product/details_12256.html
1MΩ (1004) ±1%,贴片电阻,"R4,",0402_R,0402_1MΩ__1004_1%,2,1,C26083,http://www.szlcsc.com/product/details_26826.html
470KΩ (4703) ±1%,贴片电阻,"R5,",0402_R,0402_470KΩ__4703_1%,2,1,C25790,http://www.szlcsc.com/product/details_26533.html
